sample.id,Abundance,Potential_N,Potential_N_micro,management,N.dosage,Genotype,Inoculant,Growth.stage,Kingdom,Phylum,Class,Order,Family,Genus
NIL 2_N:0_Proven_V8,0.903318129,1291.05898,1.291,N:0_Proven,N:0,NIL 2,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_Proven_VT,0.90124128,728.0549496,0.728,N:0_Proven,N:0,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_Proven_VT,0.90124128,943.0003592,0.943,N:0_Proven,N:0,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_Proven_VT,0.90124128,1224.513679,1.225,N:0_Proven,N:0,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_None_V8,0.877139177,1014.828984,1.015,N:0_None,N:0,NIL 1,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:0_None_V8,0.877139177,1046.623931,1.047,N:0_None,N:0,NIL 1,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:0_None_V8,0.877139177,1251.098298,1.251,N:0_None,N:0,NIL 1,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_Proven_VT,0.812338291,868.406438,0.868,N:67_Proven,N:67,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_VT,0.812338291,936.3858374,0.936,N:67_Proven,N:67,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_VT,0.812338291,948.5851959,0.949,N:67_Proven,N:67,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_VT,0.812338291,1436.633929,1.437,N:67_Proven,N:67,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_Proven_VT,0.78254711,680.4512021,0.68,N:0_Proven,N:0,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
NIL 2_N:0_Proven_VT,0.78254711,937.1844556,0.937,N:0_Proven,N:0,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
NIL 2_N:0_Proven_VT,0.78254711,1031.480165,1.031,N:0_Proven,N:0,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
NIL 2_N:0_Proven_VT,0.78254711,1531.453704,1.531,N:0_Proven,N:0,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
B73_N:67_Proven_V8,0.780238746,1065.906029,1.066,N:67_Proven,N:67,B73,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_Proven_V8,0.780238746,1294.925621,1.295,N:67_Proven,N:67,B73,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_Proven_V8,0.780238746,1865.606589,1.866,N:67_Proven,N:67,B73,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_Proven_V8,0.780238746,2027.745224,2.028,N:67_Proven,N:67,B73,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_None_V8,0.772109646,724.7807451,0.725,N:67_None,N:67,NIL 1,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_V8,0.772109646,1045.850344,1.046,N:67_None,N:67,NIL 1,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_V8,0.772109646,1115.461691,1.115,N:67_None,N:67,NIL 1,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_V8,0.772109646,1596.485479,1.596,N:67_None,N:67,NIL 1,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_None_V8,0.763376491,922.8785931,0.923,N:67_None,N:67,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_None_V8,0.763376491,1362.375581,1.362,N:67_None,N:67,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_None_V8,0.763376491,1404.903666,1.405,N:67_None,N:67,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_None_V8,0.763376491,1483.401133,1.483,N:67_None,N:67,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:0_None_VT,0.760373905,823.7605828,0.824,N:0_None,N:0,NIL 1,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:0_None_VT,0.760373905,906.1844817,0.906,N:0_None,N:0,NIL 1,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:0_None_VT,0.760373905,907.7384185,0.908,N:0_None,N:0,NIL 1,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:0_None_VT,0.760373905,1280.82776,1.281,N:0_None,N:0,NIL 1,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_None_V8,0.760285578,922.8785931,0.923,N:67_None,N:67,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_None_V8,0.760285578,1362.375581,1.362,N:67_None,N:67,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_None_V8,0.760285578,1404.903666,1.405,N:67_None,N:67,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_None_V8,0.760285578,1483.401133,1.483,N:67_None,N:67,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_Proven_V8,0.730495763,752.5340089,0.753,N:0_Proven,N:0,B73,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
B73_N:0_Proven_V8,0.730495763,801.4305873,0.801,N:0_Proven,N:0,B73,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
NIL 2_N:67_None_VT,0.705435945,815.7903832,0.816,N:67_None,N:67,NIL 2,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_None_VT,0.705435945,1171.951717,1.172,N:67_None,N:67,NIL 2,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_None_VT,0.705435945,1310.244886,1.31,N:67_None,N:67,NIL 2,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_None_VT,0.705435945,2059.831068,2.06,N:67_None,N:67,NIL 2,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:0_Proven_V8,0.700705377,723.0651062,0.723,N:0_Proven,N:0,NIL 2,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:0_Proven_V8,0.700705377,819.2903951,0.819,N:0_Proven,N:0,NIL 2,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:0_Proven_V8,0.700705377,1128.957936,1.129,N:0_Proven,N:0,NIL 2,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:0_Proven_V8,0.700705377,1291.05898,1.291,N:0_Proven,N:0,NIL 2,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_Proven_V8,0.695524847,1052.989525,1.053,N:67_Proven,N:67,NIL 2,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_Proven_V8,0.695524847,1114.240465,1.114,N:67_Proven,N:67,NIL 2,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_Proven_V8,0.695524847,1775.648201,1.776,N:67_Proven,N:67,NIL 2,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_None_VT,0.681327435,815.7903832,0.816,N:67_None,N:67,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
NIL 2_N:67_None_VT,0.681327435,1171.951717,1.172,N:67_None,N:67,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
NIL 2_N:67_None_VT,0.681327435,1310.244886,1.31,N:67_None,N:67,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
NIL 2_N:67_None_VT,0.681327435,2059.831068,2.06,N:67_None,N:67,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
NIL 1_N:0_Proven_VT,0.677241944,652.5743808,0.653,N:0_Proven,N:0,NIL 1,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:0_Proven_VT,0.677241944,1031.54789,1.032,N:0_Proven,N:0,NIL 1,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:0_Proven_VT,0.677241944,1133.671066,1.134,N:0_Proven,N:0,NIL 1,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:0_Proven_VT,0.677241944,1414.163439,1.414,N:0_Proven,N:0,NIL 1,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_Proven_V8,0.671056362,752.5340089,0.753,N:0_Proven,N:0,B73,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_Proven_V8,0.671056362,801.4305873,0.801,N:0_Proven,N:0,B73,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_Proven_V8,0.647958511,1065.906029,1.066,N:0_Proven,N:0,B73,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_Proven_V8,0.647958511,1294.925621,1.295,N:0_Proven,N:0,B73,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_Proven_V8,0.647958511,1865.606589,1.866,N:0_Proven,N:0,B73,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_Proven_V8,0.647958511,2027.745224,2.028,N:0_Proven,N:0,B73,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:0_None_VT,0.64288043,725.1611327,0.725,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
NIL 2_N:0_None_VT,0.64288043,904.1219025,0.904,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
NIL 2_N:0_None_VT,0.64288043,941.7953171,0.942,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
NIL 2_N:0_None_VT,0.64288043,1060.130786,1.06,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
NIL 2_N:67_None_V8,0.637381568,863.0964207,0.863,N:67_None,N:67,NIL 2,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_None_V8,0.637381568,1352.706321,1.353,N:67_None,N:67,NIL 2,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_None_V8,0.637381568,1441.335327,1.441,N:67_None,N:67,NIL 2,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_None_V8,0.637381568,1787.516619,1.788,N:67_None,N:67,NIL 2,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_VT,0.632811788,967.3209525,0.967,N:67_None,N:67,NIL 1,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_VT,0.632811788,987.2726761,0.987,N:67_None,N:67,NIL 1,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_VT,0.632811788,1364.055813,1.364,N:67_None,N:67,NIL 1,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_VT,0.632811788,1865.590342,1.866,N:67_None,N:67,NIL 1,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_Proven_V8,0.632634435,1328.121866,1.328,N:67_Proven,N:67,NIL 1,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_Proven_V8,0.632634435,1483.489554,1.483,N:67_Proven,N:67,NIL 1,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_Proven_V8,0.632634435,1506.148232,1.506,N:67_Proven,N:67,NIL 1,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_Proven_VT,0.624267686,1054.770233,1.005,N:67_Proven,N:67,B73,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_Proven_VT,0.624267686,1098.509903,1.099,N:67_Proven,N:67,B73,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_Proven_VT,0.624267686,1114.89202,1.115,N:67_Proven,N:67,B73,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_Proven_VT,0.624267686,1521.753388,1.522,N:67_Proven,N:67,B73,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_Proven_VT,0.611031417,1054.770233,1.005,N:0_Proven,N:0,B73,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_Proven_VT,0.611031417,1098.509903,1.099,N:0_Proven,N:0,B73,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_Proven_VT,0.611031417,1114.89202,1.115,N:0_Proven,N:0,B73,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_Proven_VT,0.611031417,1521.753388,1.522,N:0_Proven,N:0,B73,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_None_V8,0.608428112,516.1674651,0.516,N:0_None,N:0,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_None_V8,0.608428112,796.9841759,0.797,N:0_None,N:0,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_None_V8,0.608428112,887.5058724,0.888,N:0_None,N:0,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_None_V8,0.608428112,1008.689388,1.009,N:0_None,N:0,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_None_V8,0.608428112,1137.333952,1.137,N:0_None,N:0,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:0_Proven_V8,0.606901335,903.1248924,0.903,N:0_Proven,N:0,NIL 1,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:0_Proven_V8,0.606901335,1220.794711,1.221,N:0_Proven,N:0,NIL 1,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:0_Proven_V8,0.606901335,1229.367502,1.229,N:0_Proven,N:0,NIL 1,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_VT,0.603326808,967.3209525,0.967,N:67_None,N:67,NIL 1,None,VT,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosospira
NIL 1_N:67_None_VT,0.603326808,987.2726761,0.987,N:67_None,N:67,NIL 1,None,VT,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosospira
NIL 1_N:67_None_VT,0.603326808,1364.055813,1.364,N:67_None,N:67,NIL 1,None,VT,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosospira
NIL 1_N:67_None_VT,0.603326808,1865.590342,1.866,N:67_None,N:67,NIL 1,None,VT,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosospira
B73_N:0_None_V8,0.59235892,516.1674651,0.516,N:0_None,N:0,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_None_V8,0.59235892,796.9841759,0.797,N:0_None,N:0,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_None_V8,0.59235892,887.5058724,0.888,N:0_None,N:0,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_None_V8,0.59235892,1008.689388,1.009,N:0_None,N:0,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_None_V8,0.59235892,1137.333952,1.137,N:0_None,N:0,B73,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_Proven_VT,0.588671972,728.0549496,0.728,N:0_Proven,N:0,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
B73_N:0_Proven_VT,0.588671972,943.0003592,0.943,N:0_Proven,N:0,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
B73_N:0_Proven_VT,0.588671972,1224.513679,1.225,N:0_Proven,N:0,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera
NIL 2_N:67_Proven_V8,0.587938612,1052.989525,1.053,N:67_Proven,N:67,NIL 2,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_Proven_V8,0.587938612,1114.240465,1.114,N:67_Proven,N:67,NIL 2,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_Proven_V8,0.587938612,1775.648201,1.776,N:67_Proven,N:67,NIL 2,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_Proven_VT,0.586846543,828.7182019,0.829,N:67_Proven,N:67,NIL 2,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_Proven_VT,0.586846543,996.0427302,0.996,N:67_Proven,N:67,NIL 2,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_Proven_VT,0.586846543,1234.685187,1.235,N:67_Proven,N:67,NIL 2,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_Proven_VT,0.586846543,1263.364995,1.263,N:67_Proven,N:67,NIL 2,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_V8,0.585471267,724.7807451,0.725,N:67_None,N:67,NIL 1,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_V8,0.585471267,1045.850344,1.046,N:67_None,N:67,NIL 1,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_V8,0.585471267,1115.461691,1.115,N:67_None,N:67,NIL 1,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_V8,0.585471267,1596.485479,1.596,N:67_None,N:67,NIL 1,None,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:67_None_VT,0.584501948,815.7903832,0.816,N:67_None,N:67,NIL 2,None,VT,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosospira
NIL 2_N:67_None_VT,0.584501948,1171.951717,1.172,N:67_None,N:67,NIL 2,None,VT,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosospira
NIL 2_N:67_None_VT,0.584501948,1310.244886,1.31,N:67_None,N:67,NIL 2,None,VT,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosospira
NIL 2_N:67_None_VT,0.584501948,2059.831068,2.06,N:67_None,N:67,NIL 2,None,VT,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosospira
B73_N:67_Proven_V8,0.58415954,1065.906029,1.066,N:67_Proven,N:67,B73,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_Proven_V8,0.58415954,1294.925621,1.295,N:67_Proven,N:67,B73,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_Proven_V8,0.58415954,1865.606589,1.866,N:67_Proven,N:67,B73,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:67_Proven_V8,0.58415954,2027.745224,2.028,N:67_Proven,N:67,B73,Proven,V8,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_VT,0.580858648,967.3209525,0.967,N:67_None,N:67,NIL 1,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_VT,0.580858648,987.2726761,0.987,N:67_None,N:67,NIL 1,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_VT,0.580858648,1364.055813,1.364,N:67_None,N:67,NIL 1,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 1_N:67_None_VT,0.580858648,1865.590342,1.866,N:67_None,N:67,NIL 1,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:0_Proven_VT,0.580243667,680.4512021,0.68,N:0_Proven,N:0,NIL 2,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:0_Proven_VT,0.580243667,937.1844556,0.937,N:0_Proven,N:0,NIL 2,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:0_Proven_VT,0.580243667,1031.480165,1.031,N:0_Proven,N:0,NIL 2,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
NIL 2_N:0_Proven_VT,0.580243667,1531.453704,1.531,N:0_Proven,N:0,NIL 2,Proven,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_None_VT,0.567011725,762.0693177,0.762,N:0_None,N:0,B73,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_None_VT,0.567011725,918.170268,0.918,N:0_None,N:0,B73,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
B73_N:0_None_VT,0.567011725,1033.735045,1.034,N:0_None,N:0,B73,None,VT,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
